     Src IP Addr,     Dst IP Addr,     bps, Duration,        Date first seen,         Date last seen
  192.168.250.27,   192.168.250.1,       0,    0.000,2020-02-25 08:31:03.870,2020-02-25 08:31:03.870
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:31:03.880,2020-02-25 08:31:03.880
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:31:03.880,2020-02-25 08:31:03.880
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:31:03.880,2020-02-25 08:31:03.880
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:31:03.890,2020-02-25 08:31:03.890
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:31:03.890,2020-02-25 08:31:03.890
   192.168.250.1,  192.168.250.27,       0,    0.000,2020-02-25 08:31:03.890,2020-02-25 08:31:03.890
  192.168.250.27,  62.128.100.161,       0,    0.000,2020-02-25 08:31:03.920,2020-02-25 08:31:03.920
  62.128.100.161,   217.15.20.194,       0,    0.000,2020-02-25 08:31:03.940,2020-02-25 08:31:03.940
   192.168.250.3,    141.8.142.75,    9262,    5.020,2020-02-25 08:30:59.030,2020-02-25 08:31:04.050
    141.8.142.75,   217.15.20.194,    1337,    5.030,2020-02-25 08:30:59.030,2020-02-25 08:31:04.060
  192.168.250.50,   192.168.250.1,       0,    0.000,2020-02-25 08:31:05.170,2020-02-25 08:31:05.170
   192.168.250.1,  192.168.250.50,       0,    0.000,2020-02-25 08:31:05.180,2020-02-25 08:31:05.180
     13.232.66.4,   217.15.20.194,     905,   53.710,2020-02-25 08:30:11.540,2020-02-25 08:31:05.250
  192.168.250.27,     13.232.66.4,     255,   53.910,2020-02-25 08:30:11.340,2020-02-25 08:31:05.250
   192.168.250.3,  23.226.231.226,      79,   31.180,2020-02-25 08:30:34.610,2020-02-25 08:31:05.790
  192.168.250.62,   192.168.250.1,       0,    0.000,2020-02-25 08:31:06.360,2020-02-25 08:31:06.360
   192.168.250.1,  192.168.250.62,       0,    0.000,2020-02-25 08:31:06.360,2020-02-25 08:31:06.360
   192.168.250.3,   192.168.250.1,       0,    0.000,2020-02-25 08:31:09.550,2020-02-25 08:31:09.550
   192.168.250.1,   192.168.250.3,       0,    0.000,2020-02-25 08:31:09.550,2020-02-25 08:31:09.550
   192.168.250.3,   192.168.250.1,       0,    0.000,2020-02-25 08:31:09.550,2020-02-25 08:31:09.550
